Transaction_ID,Date,Customer_ID,Customer_Age,Customer_Segment,Product_Category,Primary_Product,Primary_Product_Price,Upsell_Offer,Upsell_Price,Upsell_Acceptance,Additional_Service,Additional_Service_Price,Total_Transaction_Value
T099,2024-12-08,C099,32,Segment B,PG Solutions,Payment Processing,50,Premium Support Package,10,Yes,Bundled Financial Service,20,80
T100,2024-12-09,C100,29,Segment A,PG Solutions,Payment Processing,50,Premium Support Package,10,Yes,Bundled Financial Service,20,80
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
